Date;MSCI
12/09/2018;176.53
13/09/2018;180.54
14/09/2018;182.18
17/09/2018;177.94
18/09/2018;178.22
19/09/2018;174.53
20/09/2018;176.32
21/09/2018;176.29
24/09/2018;178.04
25/09/2018;178.9
26/09/2018;178.77
27/09/2018;178.63
28/09/2018;177.41
01/10/2018;179.8
02/10/2018;176.96
03/10/2018;177.28
04/10/2018;172.52
05/10/2018;170.57
08/10/2018;167.82
09/10/2018;166.96
10/10/2018;156.84
11/10/2018;151.59
12/10/2018;154.04
15/10/2018;151.23
16/10/2018;156.25
17/10/2018;157.28
18/10/2018;153.75
19/10/2018;153.86
22/10/2018;156.4
23/10/2018;155
24/10/2018;148.69
25/10/2018;149.34
26/10/2018;142.76
29/10/2018;143
30/10/2018;144.51
31/10/2018;150.38
01/11/2018;147.29
02/11/2018;144.11
05/11/2018;145.08
06/11/2018;147.77
07/11/2018;151.85
08/11/2018;152.01
09/11/2018;149.79
12/11/2018;148.05
13/11/2018;147.71
14/11/2018;148.17
15/11/2018;151.66
16/11/2018;153.29
19/11/2018;145.53
20/11/2018;144.35
21/11/2018;146.34
22/11/2018;#N/A N/A
23/11/2018;149.83
26/11/2018;152.4
27/11/2018;152.2
28/11/2018;158.61
29/11/2018;157.04
30/11/2018;157.09
03/12/2018;161.6
04/12/2018;154.32
05/12/2018;#N/A N/A
06/12/2018;152.32
07/12/2018;149.75
10/12/2018;150.16
11/12/2018;152
12/12/2018;153.89
13/12/2018;152.82
14/12/2018;150.45
17/12/2018;144.21
18/12/2018;144.25
19/12/2018;143.13
20/12/2018;140.95
21/12/2018;137.29
24/12/2018;135.09
25/12/2018;#N/A N/A
26/12/2018;141.53
27/12/2018;145.27
28/12/2018;145.4
31/12/2018;147.43
01/01/2019;#N/A N/A
02/01/2019;146.94
03/01/2019;141.34
04/01/2019;146.6
07/01/2019;147.28
08/01/2019;150.34
09/01/2019;151.81
10/01/2019;153.94
11/01/2019;154.83
14/01/2019;153.71
15/01/2019;157.06
16/01/2019;160.25
17/01/2019;160.73
18/01/2019;165.97
21/01/2019;#N/A N/A
22/01/2019;162.26
23/01/2019;162.78
24/01/2019;161.74
25/01/2019;163.83
28/01/2019;162.44
29/01/2019;160.85
30/01/2019;162.77
31/01/2019;170.27
01/02/2019;172.85
04/02/2019;172.56
05/02/2019;174.49
06/02/2019;171.95
07/02/2019;172.45
08/02/2019;172.29
11/02/2019;171.75
12/02/2019;174.62
13/02/2019;174.87
14/02/2019;174.13
15/02/2019;175.17
18/02/2019;#N/A N/A
19/02/2019;174.8
20/02/2019;176.11
21/02/2019;174.22
22/02/2019;177.16
25/02/2019;178.16
26/02/2019;178.33
27/02/2019;180.74
28/02/2019;184.72
01/03/2019;190.21
04/03/2019;187.16
05/03/2019;187.67
06/03/2019;186.46
07/03/2019;182.06
08/03/2019;182.44
11/03/2019;183.66
12/03/2019;185.02
13/03/2019;185.59
14/03/2019;186.81
15/03/2019;189.58
18/03/2019;190.97
19/03/2019;191.77
20/03/2019;191.97
21/03/2019;195.67
22/03/2019;191.86
25/03/2019;191.58
26/03/2019;194.44
27/03/2019;193.36
28/03/2019;196.64
29/03/2019;198.84
01/04/2019;201.88
02/04/2019;204.89
03/04/2019;206.34
04/04/2019;206.28
05/04/2019;206.99
08/04/2019;211
09/04/2019;211.89
10/04/2019;214.61
11/04/2019;216.3
12/04/2019;217.99
15/04/2019;218.99
16/04/2019;219.34
17/04/2019;219
18/04/2019;221.35
19/04/2019;#N/A N/A
22/04/2019;222.53
23/04/2019;226.03
24/04/2019;224.77
25/04/2019;223.28
26/04/2019;226.02
29/04/2019;223.78
30/04/2019;225.38
01/05/2019;222.72
02/05/2019;221.29
03/05/2019;226.93
06/05/2019;229.63
07/05/2019;221.93
08/05/2019;223.83
09/05/2019;221.88
10/05/2019;224.28
13/05/2019;215.35
14/05/2019;220.44
15/05/2019;220.9
16/05/2019;226.07
17/05/2019;224.81
20/05/2019;222.67
21/05/2019;224.91
22/05/2019;225.12
23/05/2019;217.67
24/05/2019;218.86
27/05/2019;#N/A N/A
28/05/2019;221.36
29/05/2019;220.54
30/05/2019;222.78
31/05/2019;220.01
03/06/2019;216.26
04/06/2019;224.83
05/06/2019;234.5
06/06/2019;237.58
07/06/2019;240.3
10/06/2019;243.99
11/06/2019;236.35
12/06/2019;234.85
13/06/2019;234.82
14/06/2019;235.78
17/06/2019;232.59
18/06/2019;233.59
19/06/2019;236.65
20/06/2019;237.44
21/06/2019;232.4
24/06/2019;235.01
25/06/2019;230.75
26/06/2019;231.52
27/06/2019;234.1
28/06/2019;238.79
01/07/2019;240.51
02/07/2019;244.58
03/07/2019;245.57
04/07/2019;#N/A N/A
05/07/2019;242.29
08/07/2019;234.7
09/07/2019;238
10/07/2019;238
11/07/2019;240.28
12/07/2019;245.12
15/07/2019;245.2
16/07/2019;241.57
17/07/2019;241.58
18/07/2019;245.73
19/07/2019;240.98
22/07/2019;240.59
23/07/2019;235.61
24/07/2019;232.25
25/07/2019;231.89
26/07/2019;237.27
29/07/2019;232.37
30/07/2019;227.88
31/07/2019;227.24
01/08/2019;225.33
02/08/2019;220.18
05/08/2019;209.24
06/08/2019;214.34
07/08/2019;217.18
08/08/2019;225.47
09/08/2019;224.05
12/08/2019;219.96
13/08/2019;226.31
14/08/2019;218.9
15/08/2019;222.16
16/08/2019;226.23
19/08/2019;230.31
20/08/2019;231.5
21/08/2019;235.03
22/08/2019;236
23/08/2019;233
26/08/2019;231.64
27/08/2019;231.23
28/08/2019;231.73
29/08/2019;235.61
30/08/2019;234.63
02/09/2019;#N/A N/A
03/09/2019;233.49
04/09/2019;230.2
05/09/2019;235.43
06/09/2019;241.27
09/09/2019;237.51
10/09/2019;228.43
11/09/2019;226.71
12/09/2019;232.39
13/09/2019;229.64
16/09/2019;230
17/09/2019;240.15
18/09/2019;233.75
19/09/2019;235.39
20/09/2019;225.73
23/09/2019;225.96
24/09/2019;225.61
25/09/2019;227.06
26/09/2019;223.55
27/09/2019;215.89
30/09/2019;217.75
01/10/2019;216.23
02/10/2019;212.7
03/10/2019;217.84
04/10/2019;221.01
07/10/2019;220.79
08/10/2019;214.51
09/10/2019;219.47
10/10/2019;222.65
11/10/2019;225.33
14/10/2019;225.11
15/10/2019;227.08
16/10/2019;225.98
17/10/2019;229.03
18/10/2019;224.4
21/10/2019;226.15
22/10/2019;216.38
23/10/2019;218.33
24/10/2019;222.58
25/10/2019;222.2
28/10/2019;225.03
29/10/2019;228.07
30/10/2019;229.14
31/10/2019;234.56
01/11/2019;245.91
04/11/2019;245.79
05/11/2019;238.47
06/11/2019;241.28
07/11/2019;246.68
08/11/2019;245
11/11/2019;245
12/11/2019;246.18
13/11/2019;249.21
14/11/2019;250
15/11/2019;250
18/11/2019;252.59
19/11/2019;257.5
20/11/2019;256.37
21/11/2019;255.62
22/11/2019;257.97
25/11/2019;264.01
26/11/2019;259.77
27/11/2019;258.18
28/11/2019;#N/A N/A
29/11/2019;259.19
02/12/2019;256.57
03/12/2019;254.35
04/12/2019;259.03
05/12/2019;260.42
06/12/2019;266.32
09/12/2019;263.53
10/12/2019;261.5
11/12/2019;260.79
12/12/2019;259.86
13/12/2019;260.09
16/12/2019;261.19
17/12/2019;258.49
18/12/2019;257.5
19/12/2019;259.78
20/12/2019;259.25
23/12/2019;258.72
24/12/2019;260.36
25/12/2019;#N/A N/A
26/12/2019;260.48
27/12/2019;259.99
30/12/2019;256.92
31/12/2019;258.18
01/01/2020;#N/A N/A
02/01/2020;266.05
03/01/2020;260.75
06/01/2020;262.05
07/01/2020;262.41
08/01/2020;266.56
09/01/2020;267.83
10/01/2020;265.72
13/01/2020;271.99
14/01/2020;266.67
15/01/2020;269.74
16/01/2020;277.29
17/01/2020;279.07
20/01/2020;#N/A N/A
21/01/2020;278.03
22/01/2020;279.23
23/01/2020;279.15
24/01/2020;276.11
27/01/2020;273.94
28/01/2020;278.17
29/01/2020;282.28
30/01/2020;292.77
31/01/2020;285.8
03/02/2020;292.65
04/02/2020;301.15
05/02/2020;295.18
06/02/2020;296.9
07/02/2020;297.83
10/02/2020;301.47
11/02/2020;303.57
12/02/2020;308.18
13/02/2020;313.4
14/02/2020;322.56
17/02/2020;#N/A N/A
18/02/2020;327.09
19/02/2020;332.11
20/02/2020;321.71
21/02/2020;309.08
24/02/2020;303.53
25/02/2020;300.31
26/02/2020;305.61
27/02/2020;297.36
28/02/2020;295.44
02/03/2020;315.53
03/03/2020;308.65
04/03/2020;318.47
05/03/2020;300.89
06/03/2020;285.84
09/03/2020;257.85
10/03/2020;274.51
11/03/2020;262.58
12/03/2020;256.69
13/03/2020;283.4
16/03/2020;246.4
17/03/2020;257.6
18/03/2020;224.65
19/03/2020;237.35
20/03/2020;243.07
23/03/2020;231.55
24/03/2020;273.31
25/03/2020;263.77
26/03/2020;291.86
27/03/2020;275.74
30/03/2020;293.72
31/03/2020;288.96
01/04/2020;271.28
02/04/2020;286.99
03/04/2020;270.61
06/04/2020;302.49
07/04/2020;286.08
08/04/2020;297.18
09/04/2020;310.69
10/04/2020;#N/A N/A
13/04/2020;309.52
