fecha,hora,sec,centseg,volumen,id_orden,tipo_orden,precio
2018-01-03,13:35:06,1093950,501,81,2294,LMT,8.31000
2018-01-03,13:35:06,1093950,501,406,2317,LMT,8.31000
2018-01-03,12:40:08,935328,40,62,2096,LMT,8.31500
2018-01-03,13:35:10,1094088,455,59,2096,LMT,8.31500
2018-01-03,13:35:06,1093953,520,76,2318,LMT,8.31000
2018-01-03,13:35:06,1093948,499,495,2289,LMT,8.31000
2018-01-03,13:35:10,1094088,455,206,2129,LMT,8.31500
2018-01-03,13:35:25,1094577,856,80,2129,LMT,8.31500
2018-01-03,13:35:25,1094585,863,118,2129,LMT,8.31500
2018-01-03,13:37:00,1098818,459,102,2129,LMT,8.31500
2018-01-03,13:38:31,1102289,512,199,2208,LMT,8.32000
2018-01-03,13:38:31,1102269,477,355,2332,LMT,8.31500
2018-01-03,13:38:31,1102269,477,507,2344,LMT,8.31500
2018-01-03,13:38:31,1102269,477,209,2346,LMT,8.31500
2018-01-03,13:38:31,1102269,477,193,2347,LMT,8.31500
2018-01-03,13:38:31,1102269,477,228,2350,LMT,8.31500
2018-01-03,13:38:31,1102289,512,55,2325,LMT,8.32000
2018-01-03,13:38:31,1102292,514,70,2325,LMT,8.32000
2018-01-03,13:38:31,1102294,514,200,2325,LMT,8.32000
2018-01-03,13:38:31,1102299,525,125,2325,LMT,8.32000
2018-01-03,13:40:20,1106848,689,144,2325,LMT,8.32000
2018-01-03,13:40:58,1108039,754,67,2325,LMT,8.32000
2018-01-03,13:40:58,1108039,754,83,2382,LMT,8.32000
2018-01-03,13:42:24,1111784,466,16,2389,LMT,8.32000
2018-01-03,13:50:38,1134058,858,95,2390,LMT,8.31500
2018-01-03,13:50:38,1134058,858,112,2408,LMT,8.31500
2018-01-03,13:50:38,1134064,858,153,2408,LMT,8.31500
2018-01-03,13:50:38,1134064,858,602,2428,LMT,8.31500
2018-01-03,13:50:38,1134064,858,273,2435,LMT,8.31500
2018-01-03,13:50:38,1134064,858,674,2442,LMT,8.31500
2018-01-03,13:50:38,1134069,858,277,2442,LMT,8.31500
2018-01-03,13:50:38,1134071,858,557,2442,LMT,8.31500
2018-01-03,13:50:38,1134073,858,225,2442,LMT,8.31500
2018-01-03,13:50:38,1134075,875,3267,2442,LMT,8.31500
2018-01-03,13:50:38,1134092,942,107,2387,LMT,8.32500
2018-01-03,13:50:38,1134095,950,223,2387,LMT,8.32500
2018-01-03,13:38:31,1102296,517,462,2358,LMT,8.31500
2018-01-03,13:43:14,1114550,180,828,2358,LMT,8.31500
2018-01-03,13:45:59,1122192,822,250,2358,LMT,8.31500
2018-01-03,13:49:22,1130869,138,275,2358,LMT,8.31500
2018-01-03,13:50:38,1134058,858,1693,2358,LMT,8.31500
2018-01-03,13:50:38,1134058,858,547,2379,LMT,8.31500
2018-01-03,13:50:38,1134058,858,253,2388,LMT,8.31500
2018-01-03,13:50:45,1134337,403,16,2478,LMT,8.32000
2018-01-03,13:50:45,1134337,403,279,2471,LMT,8.32000
2018-01-03,13:50:38,1134095,950,9,2396,LMT,8.32500
2018-01-03,13:50:38,1134095,950,68,2396,LMT,8.32500
2018-01-03,13:52:44,1141556,465,400,2485,LMT,8.32500
2018-01-03,13:52:44,1141558,465,40,2485,LMT,8.32500
2018-01-03,13:52:44,1141578,504,600,2491,LMT,8.32000
2018-01-03,13:52:44,1141581,505,132,2515,LMT,8.32500
2018-01-03,13:52:44,1141583,507,39,2515,LMT,8.32500
2018-01-03,13:52:44,1141586,508,269,2515,LMT,8.32500
2018-01-03,14:05:04,1183487,812,601,2536,LMT,8.33500
2018-01-03,14:05:04,1183487,812,16,2549,LMT,8.33500
2018-01-03,14:05:04,1183494,855,51,2563,LMT,8.33500
2018-01-03,14:06:04,1185884,465,103,2563,LMT,8.33500
2018-01-03,14:08:20,1193527,37,80,2563,LMT,8.33500
2018-01-03,13:52:44,1141578,504,4,2496,LMT,8.32000
2018-01-03,14:08:20,1193527,37,503,2574,LMT,8.33500
2018-01-03,14:08:20,1193547,128,108,2574,LMT,8.33500
2018-01-03,14:08:20,1193549,128,75,2574,LMT,8.33500
2018-01-03,14:08:20,1193549,128,105,2575,LMT,8.33500
2018-01-03,14:09:35,1197127,166,50,1132,LMT,8.35000
2018-01-03,14:09:35,1197127,166,200,2205,LMT,8.35000
2018-01-03,14:09:38,1197302,122,599,2662,LMT,8.36000
2018-01-03,14:09:44,1197601,502,2276,2644,LMT,8.35500
2018-01-03,14:09:44,1197602,503,160,2659,LMT,8.35500
2018-01-03,14:09:44,1197602,503,147,2660,LMT,8.35500
2018-01-03,14:09:44,1197604,504,598,2684,LMT,8.35500
2018-01-03,14:09:44,1197604,504,519,2686,LMT,8.35500
2018-01-03,14:09:44,1197607,505,121,2686,LMT,8.35500
2018-01-03,14:09:44,1197609,523,230,2686,LMT,8.35500
2018-01-03,14:09:49,1197729,943,343,2688,LMT,8.35000
2018-01-03,14:09:49,1197729,943,126,2701,LMT,8.35000
2018-01-03,14:09:49,1197729,943,165,2702,LMT,8.35000
